Main | TueJun18 @ 11:23:23PM CDT | [Info] This log can be found at logs-3/061834-log_2024-06-18_23-23-23.log.
Main | TueJun18 @ 11:23:23PM CDT | [Info] nprocs = 25
Main | TueJun18 @ 11:23:24PM CDT | [Info] Packages and prereqs loaded, running with allocated threads = 12.
Main | TueJun18 @ 11:23:24PM CDT | [Info] n set to 4
Main | TueJun18 @ 11:23:24PM CDT | [Info] wrote new pd to models/Jun18/061834_n=4.model
Main | WedJun19 @ 12:23:2AM CDT | [Info] [0] loss = 0.12640420319679396. took 3571.1465821266174 sec. 12 threads.
Main | WedJun19 @ 1:28:56AM CDT | [Info] [1] loss = 0.10450185377684361. took 3952.544932126999 sec. 12 threads.
Main | WedJun19 @ 2:35:48AM CDT | [Info] [2] loss = 0.09651989308326006. took 4011.1705379486084 sec. 12 threads.
Main | WedJun19 @ 3:42:46AM CDT | [Info] [3] loss = 0.0919727004116973. took 4017.4147441387177 sec. 12 threads.
Main | WedJun19 @ 4:51:14AM CDT | [Info] [4] loss = 0.09064360440970243. took 4105.558271884918 sec. 12 threads.
Main | WedJun19 @ 5:59:36AM CDT | [Info] [5] loss = 0.08944219700959094. took 4100.88129401207 sec. 12 threads.
Main | WedJun19 @ 7:10:30AM CDT | [Info] [6] loss = 0.08928012818980972. took 4252.120241165161 sec. 12 threads.
Main | WedJun19 @ 8:21:48AM CDT | [Info] [7] loss = 0.08745198236480083. took 4277.064707994461 sec. 12 threads.
Main | WedJun19 @ 9:34:15AM CDT | [Info] [8] loss = 0.08129540878605195. took 4345.419250965118 sec. 12 threads.
Main | WedJun19 @ 10:50:24AM CDT | [Info] [9] loss = 0.08109656639063088. took 4567.700422048569 sec. 12 threads.
Main | WedJun19 @ 12:6:49PM CDT | [Info] [10] loss = 0.08092505628511938. took 4583.542429924011 sec. 12 threads.
Main | WedJun19 @ 1:28:2PM CDT | [Info] [11] loss = 0.08069600331226007. took 4872.206821918488 sec. 12 threads.
Main | WedJun19 @ 2:47:51PM CDT | [Info] [12] loss = 0.08069600331226007. took 4787.169262886047 sec. 12 threads.
Main | WedJun19 @ 4:9:42PM CDT | [Info] [13] loss = 0.0806917710268936. took 4908.972491025925 sec. 12 threads.
Main | WedJun19 @ 5:29:14PM CDT | [Info] [14] loss = 0.0806917710268936. took 4770.577710866928 sec. 12 threads.
Main | WedJun19 @ 6:48:33PM CDT | [Info] [15] loss = 0.0806917710268936. took 4758.301224946976 sec. 12 threads.
Main | WedJun19 @ 8:11:0PM CDT | [Info] [16] loss = 0.0806917710268936. took 4945.36034989357 sec. 12 threads.
Main | WedJun19 @ 9:33:45PM CDT | [Info] [17] loss = 0.0806917710268936. took 4964.319119930267 sec. 12 threads.
Main | WedJun19 @ 10:57:46PM CDT | [Info] [18] loss = 0.0806917710268936. took 5039.059567928314 sec. 12 threads.
Main | ThuJun20 @ 12:18:51AM CDT | [Info] [19] loss = 0.08002227983952619. took 4863.015687942505 sec. 12 threads.
Main | ThuJun20 @ 1:41:59AM CDT | [Info] [20] loss = 0.07997174264114104. took 4987.24609208107 sec. 12 threads.
Main | ThuJun20 @ 3:3:0AM CDT | [Info] [21] loss = 0.07978174679530353. took 4859.28072810173 sec. 12 threads.
Main | ThuJun20 @ 4:29:0AM CDT | [Info] [22] loss = 0.07978174679530353. took 5158.772400856018 sec. 12 threads.
Main | ThuJun20 @ 5:50:39AM CDT | [Info] [23] loss = 0.07978174679530353. took 4896.850618839264 sec. 12 threads.
Main | ThuJun20 @ 7:10:50AM CDT | [Info] [24] loss = 0.07978174679530353. took 4809.785284042358 sec. 12 threads.
Main | ThuJun20 @ 8:31:45AM CDT | [Info] [25] loss = 0.07978174679530353. took 4853.420904874802 sec. 12 threads.
Main | ThuJun20 @ 9:49:22AM CDT | [Info] [26] loss = 0.07978174679530353. took 4656.249032974243 sec. 12 threads.
Main | ThuJun20 @ 11:12:56AM CDT | [Info] [27] loss = 0.07978174679530353. took 5012.186568021774 sec. 12 threads.
Main | ThuJun20 @ 12:35:33PM CDT | [Info] [28] loss = 0.07978174679530353. took 4955.513430118561 sec. 12 threads.
Main | ThuJun20 @ 1:58:42PM CDT | [Info] [29] loss = 0.07870662440415699. took 4986.72460103035 sec. 12 threads.
Main | ThuJun20 @ 3:21:53PM CDT | [Info] [30] loss = 0.07760610539914745. took 4989.991120815277 sec. 12 threads.
Main | ThuJun20 @ 4:44:34PM CDT | [Info] [31] loss = 0.0767528710906823. took 4959.461711883545 sec. 12 threads.
Main | ThuJun20 @ 6:7:19PM CDT | [Info] [32] loss = 0.07643442928464526. took 4963.777503013611 sec. 12 threads.
